Hero Name,Overall Tier,PvP (F2P),PvP (Spender),World Boss (F2P),World Boss (Spender),Campaign,PvE / Monsters,Rally,Zombie Siege,Peak Arena,Alliance War,Monster Hunt,Investment ROI,Best Use Case
Sera,S+,SS,SS,SS,SS,S+,A,S,A,B,SS,S+,Excellent,Core F2P DPS — day 1 through mid-game; WB and PvP staple
Yord,S+,SS,SS,SS,SS,S+,A,SS,A,SS,S+,SS,Excellent,Mandatory buffer every mode — never bench
Monica,S+,—,SS,—,SS,A,B,S,B,SS,B,SS,Excellent (spender),Premium Forest DPS — replaces Sera at max investment
Sophia,S+,—,SS,—,SS,A,B,S,B,SS,B,SS,Excellent (spender),Human backline nuker with Stun — top PvP pick
Daphne,S+,—,SS,—,SS,B,A,S,A,SS,A,S,High (spender),Nightfall anti-Human DPS — arena specialist
Fenixia,S+,S,SS,S,SS,S+,B,A,B,S,A,S,High,Human magic DPS — WB AoE + Lucky Spin F2P path
Dragonic,S+,S,S,A,A,S+,A+,A,A,A,A,B,Good (F2P),Free starter tank — campaign and early PvP; outscaled late WB
Andrew,S+,S,A,A,A,A,A,A,A,A,A,B,Good (Day 60),Human anti-magic tank — faction bonus enabler at 5★
Crystal,S+,S,B,SS,SS,B,A,B,A,S,B,SS,High (WB),WB enabler — Forest backline monster buff + execute
Verna,S+,S,B,SS,SS,B,A,B,A,S,A,SS,High (WB),Monster/boss specialist — debuff + resource farming
Valkyr,S+,—,SS,—,—,A,A,SS,A,SS,A,B,High (spender),God buffer-tank — Human comp PvP and rally
Sparta,S+,—,S,—,—,B,B,S,B,S,B,C,Medium,PvP taunt tank — technical; skip WB
Rexar,S+,—,S,—,—,B,B,A,B,S,B,B,Medium (Forest PvP),Forest tank-buffer — pairs with Dragonic
Alvarez,S+,—,A,—,B,B,B,B,B,A,B,B,Medium,Nightfall physical DPS — DEF shred multi-hit
Belial,S+,—,A,—,A,B,B,B,B,A,B,B,Medium,Execute DPS — PvP finisher; low WB
Mirana,S+,—,A,—,B,B,B,B,B,A,B,B,Medium,Nightfall AoE — wave clear and PvE
Chakiss,S,—,B,—,—,B,B,C,C,B,C,B,Low-Medium,PvE monster filler — pick ONE of Chakiss/Edric
Edric,S,—,B,—,—,B,B,C,C,B,C,B,Low-Medium,Forest epic filler — pick ONE of Chakiss/Edric
Denise,S,—,C,—,—,A,B,C,C,B,C,C,Medium,PvE campaign support bard
Faerie,S,—,C,—,—,A,A,C,A,B,C,C,Medium,Healer for siege and long campaign fights
Garuda,S,—,B,—,—,B,B,C,C,B,C,C,Low-Medium,Anti-beast burst — early-mid filler
Marissa,S,—,C,—,—,B,B,C,C,B,C,C,Low,Single-target epic DPS filler
Reina,S,—,B,—,—,B,B,C,C,B,C,C,Low,Enchant/debuff support filler
Aaron,S,—,C,—,—,C,C,C,C,C,C,C,Low,Beastkins filler — bench
Ali,S,—,C,—,—,C,C,C,C,C,C,C,Low,Human epic — invest Chakiss/Edric instead
Cthylla,S,—,B,—,—,B,B,C,C,B,C,B,Low-Medium,Nightfall AoE/control — situational
Kataras,S+,—,A,—,B,B,B,B,B,A,B,B,Medium,Premium demon DPS — verify faction/skills
Harold,A,—,D,—,—,C,C,C,C,C,C,C,Very Low,Basic tank filler
Moga,A,—,D,—,—,C,C,C,C,C,C,C,Very Low,Beastkins bench DPS
Romano,A,—,D,—,—,C,C,C,C,C,C,C,Very Low,Holy support filler
Torun,A,—,D,—,—,C,C,C,C,C,C,C,Very Low,Berserker filler DPS
