Hero,Official Title,Tier,Faction,Role,Dmg Type,Strengths,Best For,Recommended Gear,Team Synergies,All Skills Summary,F2P Priority,Spender Priority,DPS Rank,Tank Rank,Support Rank,Investment ROI,Notes
Alvarez,Shadow of Exile,S+,Human,DPS,Physical,620% single + 20×85% Terror Blade DEF shred; +23.6% physical dealt,Physical DPS; DEF shred multi-hit,Cursed Book + Angelic Headband; Evolution (ATK/Penetration); ATK/Penetration/CRIT,"Human DPS comps, Andrew front line","Revolving Blades: 620% Physical single (346.6% @ Lv13). | Identify Weakness: +23.6% Physical DMG dealt. | Terror Blade: 10×43% Physical random; −5% DEF stack. | Azure Dagger: HP/ATK/DEF +20%, Speed +40.",,12,7,,,Medium,Verified Jul 2026
Andrew,Knight of Death,S+,Human,Tank,Physical,619% duel; −40% magic taken; 144% AoE anti-magic debuff,Human tank from Day 60; faction bonus enabler; anti-magic PvP,Eternal Cloak + Spirit Shield; Evolution (Health); HP/DMG Reduction/DEF,"Valkyr, Fenixia, Sophia, Sera+Dragonic+Verna (3F+2H = +10%)","Ultimate Duel: 619% Physical single. | Ode to Darkness: −40% Magic DMG taken. | Despair's Backlash: 144% Physical all enemies; −15% enemy Magic DMG dealt. | Avenging Warsong: HP/ATK/DEF +20%, Speed +40.",6,7,,2,,Good (Day 60),Verified Jul 2026
Belial,Cursed Soul of the Dark,S+,Nightfall,DPS,Physical,605% lowest-HP execute; 399%×3 random; +30% CRIT,PvP finisher; spender situational,Cursed Book + Angelic Headband; Evolution (CRIT/ATK); CRIT/ATK/Execute,"Daphne, Sparta, Nightfall burst comps","Malice Curse: 605% Physical lowest-HP. | Endless Trepidation: +30% CRIT. | Otherworld Distortion: 399% Physical to 3 random. | Offering Grimoire: HP/ATK/DEF +20%, Speed +40.",,11,8,,,Medium,Verified Jul 2026
Crystal,Soul Ferrier,S+,Nightfall,DPS,Physical,1372% execute + Forest backline +24.75% monster DMG; WB enabler,"World Boss, Forest backline amplifier (Sera/Verna)",Cursed Book or Devil's Heart + Angelic Headband; ATK/Execute/Buff,"Sera, Verna, Yord, Fenixia (WB stack)","Ferry Soul: 522.8% Physical single. | Shadowy Soul: 1372.7% Physical; recast 50% on kill. | Soul Protection: Back-row Forest +24.75% monster DMG. | Guiding Lamp: HP/ATK/DEF +20%, Speed +40.",4,6,6,,4,High (WB),Verified Jul 2026
Daphne,Rose's Watch,S+,Nightfall,DPS,Magic,605% random + 510% back-row priority; +30% magic dealt,Spender PvP — Nightfall counter to Human meta,Cursed Book + Angelic Headband; Evolution (ATK); ATK/Magic DMG,"Yord, Monica/Sophia (spender PvP), Nightfall buffers","Tragic Finale: 605% Magic random. | Sweet Blade: +30% Magic DMG dealt. | First Bloom: 510% Magic back-row priority. | Love Exchange: HP/ATK/DEF +20%, Speed +40.",,3,5,,,High (spender),Verified Jul 2026
Dragonic,Dragonborn,S+,Forest,Tank,Physical,511% burst + front-row damage reduction + physical Overload buff,"F2P Campaign, early PvP, Forest faction tank until Andrew",Eternal Cloak + Spirit Shield; Evolution (Health); HP/DMG Reduction/DEF,"Yord, Sera, Rexar (Forest PvP), Andrew (handoff tank)","Thunder Breath: Deals 511% ATK Physical DMG single enemy. | Thunderous Wrath: Front-row −17% all damage taken during battle. | Overload: −29% physical DMG to front-row allies 1 turn. | Thunder Mark: HP/ATK/DEF +20%, Speed +40.",3,8,,4,6,Good (F2P),Verified Jul 2026
Fenixia,Fiery Plume,S+,Human,DPS,Magic,605% single + 320% AoE magic; Flame Overload per Human ally; +30% CRIT,"World Boss, Human magic DPS, Lucky Spin F2P path",Cursed Book + Angelic Headband; Evolution (ATK/CRIT); ATK/CRIT/Skill DMG,"Yord, Andrew, Sophia, Human-heavy teams (3+ Human = bonus)","Incinerate: 605% Magic single; Flame Overload per Human ally. | Fireborn: +30% CRIT. | Flame Spiral: 320% Magic all enemies. | Phoenix Wing: HP/ATK/DEF +20%, Speed +40.",5,5,4,,,High,Verified Jul 2026
Kataras,Demon Masked Asura,S+,Nightfall,Tank,Physical,516% random + Counterattack Mode retaliate tank,Nightfall counterattack tank — PvP/rally,Eternal Cloak + Spirit Shield; Evolution (Health); HP/DMG Reduction/ATK,"Sparta, Nightfall DPS, front-row comps","Frenzied Hellfire: 516% Physical random. | Soul's End: Front-row −13% dmg; double in Counterattack Mode. | Asura's Blade: Counterattack Mode: retaliate 130% basic-attack DMG. | King's Advance: HP/ATK/DEF +20%, Speed +40.",,13,,7,,Medium,Verified Jul 2026
Mirana,Spectral Rakkhasa,S+,Nightfall,DPS,Physical,605% single + 320% AoE physical; +30% physical dealt,"Nightfall AoE wave clear, PvE",Cursed Book + Angelic Headband; Evolution (ATK); ATK/AoE/Physical DMG,"Belial, Daphne, Nightfall buffers","Ceremony: 605% Physical single. | Soul Drain: +30% Physical DMG dealt. | Resentful Chorus: 320% Physical all enemies. | Despair: HP/ATK/DEF +20%, Speed +40.",,14,9,,,Medium,Verified Jul 2026
Monica,Shadowhunt,S+,Forest,DPS,Magic,614% single + back-row splash; 396%×5 multi-hit; +30% CRIT,"Spender PvP, World Boss, late-game Forest DPS",Angelic Headband + Eternal Cloak; Evolution (Health); DMG Reduction/ATK/CRIT,"Yord, Sera (Forest core), Rexar, Dragonic","Desert Ember: 614% Magic single; splashes back-row if front target. | Feline Fury: +30% CRIT. | Savage Swoop: 3×396% Magic random. | Bestial Blessing: HP/ATK/DEF +20%, Speed +40.",,1,1,,,Excellent (spender),Verified Jul 2026
Rexar,Winter's Wrath,S+,Forest,Tank,Physical,−30% dmg taken; +50% DEF team buff; Forest tank-buffer,Forest-focused spender PvP with Dragonic,Eternal Cloak + Spirit Shield; Evolution (Health); HP/DEF/DMG Reduction,"Dragonic, Monica, Sera, Yord (Forest PvP)","Frostlord's Throne: 503% ATK Physical DMG single. | Eternal Frostlands: −30% all damage taken. | Frostbite Touch: +50% DEF front row 1 turn. | Chilling Surge: HP/ATK/DEF +20%, Speed +40.",,10,,6,,Medium (Forest PvP),Verified Jul 2026
Sera,Bow of Tomorrow,S+,Forest,DPS,Magic,16-hit magic burst; Amplification scales with Forest allies; core F2P DPS,"F2P PvP, World Boss, Campaign, Peak Arena",Cursed Book + Angelic Headband; Evolution runes (ATK/CRIT); ATK/CRIT/Skill DMG,"Yord (mandatory buffer), Monica (Forest DPS), Dragonic, Verna/Crystal (WB)","Arrow of the Butterfly: 609% Magic single; crit → Amplification stacks. | Shadow Sprite: +30% Magic DMG dealt. | Arrow of Destiny: 8 hits×121% Magic random (+16 @4★); +1 hit per Amplification. | Darkness Vanquisher: HP/ATK/DEF +20%, Speed +40.",1,3,2,,,Excellent,Verified Jul 2026
Sophia,Spirit of Ripples,S+,Human,DPS,Magic,620% single + 447% back-row Stun; scales to 3 targets,"Spender PvP, anti-backline, Human magic burst",Cursed Book + Angelic Headband; Evolution (ATK/CRIT); ATK/CRIT/Control,"Yord, Fenixia, Andrew, Valkyr (Human comp)","Dragonhunt: 620% Magic single. | Moonlit Ripples: +40% ATK. | Dragon's Waltz: 447% Magic back-row; 10% Stun. | Nocturnal Brilliance: HP/ATK/DEF +20%, Speed +40.",,2,3,,,Excellent (spender),Verified Jul 2026
